,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
20,20,16,19,71,23,29,67,69,18,30,17,1,64,62,58,41,43,36,39,44,21,52,68,55,2,22,8,61,57,63,60,32,31,54,5,28,59,65,10,66,25,35,26,27,24,70,48,9,46,3,49,47,34,42,11,45,40,38,37,0,33,7,50,6,51,4,15,56,12,13,14,53
21,21,31,32,18,25,17,3,47,49,66,48,28,59,26,0,24,27,34,42,37,38,20,68,16,19,46,50,45,2,40,33,70,11,56,4,51,22,15,13,63,5,71,29,12,69,67,60,14,61,30,65,23,35,53,1,62,64,58,43,41,44,36,39,52,55,6,54,57,7,8,10,9
22,22,26,60,28,27,24,31,32,25,61,23,65,17,59,30,63,18,29,2,68,64,62,58,20,16,19,66,21,45,11,67,69,71,50,51,12,48,47,49,0,5,7,1,35,4,3,46,33,53,40,6,42,34,52,41,43,44,36,39,56,38,37,70,15,14,13,57,10,9,8,54,55
23,23,29,30,20,71,62,58,64,19,16,22,67,69,31,32,1,28,25,61,26,27,24,63,18,52,60,59,65,17,39,36,41,43,44,68,2,11,21,55,8,57,54,10,66,5,48,49,47,0,9,70,35,3,50,51,46,7,6,34,42,45,40,38,37,15,4,33,12,13,56,14,53
24,27,24,26,28,32,31,25,22,11,65,17,51,21,59,60,4,30,33,61,23,66,29,63,0,18,48,49,47,50,68,14,2,45,46,3,64,62,58,12,16,19,34,42,40,20,37,38,70,15,67,69,1,53,5,71,13,56,35,52,39,36,44,43,41,6,7,9,57,54,10,55,8
25,25,31,32,28,26,27,24,22,63,18,21,59,68,23,30,29,11,34,42,48,0,49,47,60,65,17,50,61,66,3,5,51,58,62,64,20,19,16,4,2,46,37,38,45,33,56,70,15,13,12,67,69,1,71,40,14,53,52,35,39,36,44,43,41,6,7,57,54,55,10,8,9
26,26,22,28,27,24,31,32,25,60,66,21,11,59,65,17,61,30,2,23,29,45,0,63,18,51,12,50,40,48,49,47,68,4,46,33,53,3,58,62,64,19,16,34,42,20,38,37,35,70,15,69,67,14,1,13,5,71,56,7,52,6,36,44,43,41,39,57,54,55,10,9,8
27,27,24,26,28,32,31,25,22,11,65,17,51,21,59,60,4,30,33,61,23,66,29,63,0,18,48,49,47,50,68,14,2,45,46,3,64,62,58,12,16,19,34,42,40,20,37,38,70,15,67,69,1,53,5,71,13,56,35,52,39,36,44,43,41,6,7,9,57,54,10,55,8
28,28,26,24,27,31,32,25,22,30,11,21,61,29,59,23,60,66,65,17,46,63,18,48,0,50,51,47,49,64,58,62,19,16,68,45,3,33,20,4,40,1,2,37,38,67,69,12,42,34,70,15,13,71,14,53,52,5,56,36,41,43,44,39,6,35,7,54,57,55,10,9,8
29,29,23,30,20,71,62,64,58,19,16,1,28,69,67,22,31,32,25,26,52,24,27,11,61,44,39,36,43,41,63,21,18,59,55,60,2,65,17,66,68,8,54,70,57,0,48,10,49,47,35,5,9,40,38,37,15,46,3,50,51,42,34,13,14,45,4,33,12,7,6,56,53
